Title,URL
LoRA from scratch: implementation for LLM finetuning,https://lightning.ai/lightning-ai/studios/code-lora-from-scratch?view=public&section=all
Building a fair multi-tenant queuing system,https://www.inngest.com/blog/building-the-inngest-queue-pt-i-fairness-multi-tenancy
Launch HN: Diversion (YC S22) – Cloud-Native Git Alternative,https://news.ycombinator.com/item?id=39088551
Show HN: Vx.dev – GitHub-Powered AI for effortless development,https://vxdev.pages.dev/
How far could the sun possibly be?,https://profmattstrassler.com/2024/01/19/how-far-could-the-sun-possibly-be/
Reading QR codes without a computer,https://qr.blinry.org/
Meta now lets EU users unlink their Facebook, Messenger and Instagram accounts,https://www.neowin.net/news/meta-now-lets-eu-users-unlink-their-facebook-messenger-and-instagram-accounts/
Modder re-creates Game Boy Advance games using the audio from crash sounds,https://arstechnica.com/gaming/2024/01/modder-recreates-game-boy-advance-games-using-the-audio-from-crash-sounds/
When America first dropped acid,https://www.newyorker.com/magazine/2024/01/29/tripping-on-utopia-margaret-mead-the-cold-war-and-the-troubled-birth-of-psychedelic-science-benjamin-breen-book-review
Patterns (YC S21) is hiring to automate analytics with LLMs,https://patterns.app/
